Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Verseuchte Kerrigan /// Kerrigan Infested
Conversation/zMission_Hybrid01/Line00040=Diese Garnison ist jetzt verseucht. /// This garrison is now being infested.
Conversation/zMission_Hybrid01/Line00042=Bringt ihn nach dem Kampf zu mir. /// Bring him to me after the battle.
Conversation/zMission_Hybrid01/Line00043=Verseuchung erfolgreich. Diese Garnison befindet sich jetzt unter der Kontrolle des Schwarms. /// Infestation successful. This garrison is now under [Serious]the Swarm's control.[/Serious]
Conversation/zMission_Hybrid01/Line00044=Eine weitere Garnison fällt der Verseuchung zum Opfer! /// Another garrison falls to the infestation!
Conversation/zMission_Hybrid01/Line00045=Chemische Kriegsführung. Effizienter Mechanismus. /// Chemical warfare. [Angry 70]Efficient[/Angry] delivery mechanism.
Conversation/zMission_Hybrid01/Line00046=Hierfür wurdet ihr ausgebildet! Kein Zerg darf überleben! /// You have been trained for this! Let no zerg survive!
Conversation/zMission_Hybrid01/Line00047=An alle Streitkräfte: Vernichtet die Zergbedrohung. /// All forces: Eradicate the zerg threat.
Conversation/zMission_Hybrid01/Line00048=Tötet die Verseuchten. Es ist die einzige Gnade, die wir ihnen gewähren können. /// [Serious]Kill the infested.[/Serious][Sad] It's the only mercy we can afford them.[/Sad]
Conversation/zMission_Hybrid01/Line00049=Tötet sie, bevor sie den Virophagen zerstören! /// Kill them before they destroy the virophage!
Conversation/zMission_Hybrid01/Line00051=Meine Königin, das Gas vernichtet die verseuchten Terraner! /// My queen, the gas is destroying the infested terrans!
Conversation/zMission_Hybrid01/Line00052=Tank zerstört. Dauer der Gasausströmung verringert. /// Tank destroyed. Gas duration reduced.
Conversation/zMission_Hybrid01/Line00053=Tank zerstört. Dauer der Gasausströmung weiter verringert. /// Tank destroyed. Gas duration further reduced.
Conversation/zMission_Hybrid01/Line00054=Alle Gastanks zerstört. Gasvorräte der Liga bedeutend verringert. /// All storage containers destroyed. Dominion gas reserves significantly lowered.
Conversation/zMission_Hybrid01/Line00055=Gas instabil. Nachschub benötigt Zeit, sobald Reserven der Liga aufgebraucht. /// Gas unstable. Once Dominion's reserves run out; will require time to synthesize more.
Conversation/zMission_Hybrid01/Line00056=Unsere Verseuchten können nicht überleben, solange das Gas ausströmt. /// Our infested will not survive while the gas remains on.
Conversation/zMission_Hybrid01/Line00057=Gut, es ist an der Zeit, dass wir herausfinden, was uns im Innern erwartet. /// [Serious]Good,[/Serious] it's time we found out what's [Serious]waiting inside.[/Serious]
Conversation/zMission_Hybrid01/Line00058=Unsere Verseucher können mit "Parasitärer Kontrolle" einen Gegner dauerhaft kontrollieren. /// Our infestors can use parasitic domination to gain permanent control of an enemy.
Conversation/zMission_Hybrid01/Line00059=Kontrolle über die Kobras wird uns helfen, diese Basis zu zerstören. /// Dominating these diamondbacks will help us destroy this base.
Conversation/zMission_Hybrid01/Line00060=Die Zerg dürfen nicht hineingelangen! Tötet sie alle! /// Don't let the zerg get inside! Kill them all!
Conversation/zMission_Hybrid01/Line00061=Wendet "Parasitäre Kontrolle" auf die schweren Geschütze der Liga an! Nutzt ihre Waffen gegen sie! /// Use Parasitic Domination on the Dominion's heavy ordnance! [Angry 80]Turn their weapons against them![/Angry]
Conversation/zMission_Hybrid01/Line00062=Wenn wir Verseucher hätten, könnten wir mit "Parasitärer Kontrolle" Einheiten der Liga kontrollieren. /// If we had infestors we could use "Parasitic Domination" to control the Dominion's weaponry.
Conversation/zMission_Hybrid01/Line00063=Er unterscheidet sich von den anderen und es scheint, als ob er gefangengehalten wurde. /// It is unlike any of the others, and appears to have been held captive.
Conversation/zMission_Hybrid01/Line00064=Ich kann jederzeit neue erschaffen. /// I can always spawn more.
Conversation/zMission_Hybrid01/Line00065=Meine Königin, der Schwarm ist bereit, auf deinen Befehl hin in das Labor einzudringen. /// My queen, the Swarm is ready to enter the laboratory at your command.
Conversation/zMission_Hybrid01/Line00066=Diese Garnison wurde vom Schwarm verseucht. /// This garrison has been infested by the Swarm.
Conversation/zMission_Hybrid01/Line00068=Garnison verseucht. /// Garrison infested.
Conversation/zMission_Hybrid01/Line00070=Auf zur Garnison! /// [Serious]Move to that garrison[/Serious], quickly!
Conversation/zMission_Hybrid01/Line00071=Gas strömt erneut auf die Plattform aus. /// Gas is once again venting onto the platform.
Conversation/zMission_Hybrid01/Line00072=Gas strömt auf die Plattform. Mach dich bereit, unsere Virophagen zu verteidigen. /// Gas is venting onto the platform. Prepare to defend our virophages.
Conversation/zMission_Hybrid01/Line00073=Die Liga lässt nicht länger Gas auf die Plattform ausströmen. /// The Dominion is no longer venting gas onto the platform.
Conversation/zMission_Hybrid01/Line00074=Ich werde ihn nach dem Kampf zu dir bringen. /// I will bring him to you after the battle.
Conversation/zMission_Hybrid01/Line00077=Unser Schwarm hat eine weitere Garnison entdeckt. /// Our Swarm has discovered another garrison.
Conversation/zMission_Hybrid01/Line00078=Eine Garnison wurde entdeckt. /// A garrison has been discovered.
Conversation/zMission_Hybrid01/Line00079=Wir haben eine Garnison entdeckt, die verseucht werden kann. /// We have encountered a garrison to infest.
Conversation/zMission_Hybrid01/Line00080=Wir haben eine weitere Garnison entdeckt. /// We have found another garrison.
Conversation/zMission_Hybrid01/Line00081=Ich habe in der Nähe eine Garnison entdeckt. Unsere Verseucher warten auf deinen Befehl. /// I have discovered a nearby garrison. Our infestors await your command.
Conversation/zMission_Hybrid01/Line00082=Weitere Garnison entdeckt. /// Additional garrison located.
Conversation/zMission_Hybrid01/Line00083=Stellt euch auf einen Angriff ein! Beschützt unsere Virophagen! /// [Serious]Expect an attack![/Serious][Angry 80] Guard our virophages![/Angry]
Conversation/zMission_Hybrid01/Line00084=Greift zusammen mit den Verseuchten an! Verschont niemanden! /// [Serious]Attack alongside the infested! [/Serious][Angry]Spare no one![/Angry]
Conversation/zMission_Hybrid01/Line00085=Die Liga hat es auf unsere Virophagen abgesehen! Haltet sie auf! /// [Serious]The Dominion is after our virophage! [/Serious][Angry]Stop them![/Angry]
Conversation/zMission_Hybrid01/Line00086=Tötet sie, bevor sie den Virophagen zerstören! /// Kill them before they destroy the virophage!
Conversation/zMission_Hybrid01/Line00087=Greift zusammen mit den Verseuchten an! Tötet jeden, der uns im Weg steht. /// Attack alongside the infested! Kill anyone in our way!
Conversation/zMission_Hybrid01/Line00088=Die Garnisonen sind noch da. Ein Verseucher kann einen neuen Virophagen platzieren. /// The garrisons are [Serious]still there.[/Serious] An infestor can replant the virophage.
Conversation/zMission_Hybrid01/Line00090=Ich kann jederzeit neue erschaffen. /// I can always spawn more.
Conversation/zMission_Hybrid01/Line00091=Garnison der Liga ausfindig gemacht. /// Dominion garrison located.
Conversation/zMission_Hybrid01/Line00092=Garnison entdeckt. /// Garrison discovered.
Conversation/zMission_Hybrid01/Line00093=Es wurde noch eine weitere Garnison ausfindig gemacht. /// Another garrison has been located here.
Conversation/zMission_Hybrid01/Line00094=Die automatisierten Kanonen werden von diesen Konsolen kontrolliert. /// The automated guns are controlled by these consoles.
Conversation/zMission_Hybrid01/Line00095=Wenn du einen Kriechertumor hier platzierst, verursachst du einen Kurzschluss der Kanonen in diesem Bereich. /// If you place a creep tumor here, it will short out the guns in this section.
Conversation/zMission_Hybrid01/Line00096=Säubern wir diese Plattform, das Tageslicht brennt! /// Let's get this platform cleared out, daylight's burning!
Conversation/zMission_Hybrid01/Line00098=Wer möchte seinen Zerg ganz durchgebraten? /// Anybody want their zerg well done?
Conversation/zMission_Hybrid01/Line00099=Flammenwerfer entzündet! /// Flamethrowers pre-ignited!
Conversation/zMission_Hybrid01/Line00100=Bereit, ein paar Zerg zu verbrennen! /// Ready to burn out some zerg!
Conversation/zMission_Hybrid01/Line00101=Die automatisierten Kanonen im ersten Bereich wurden zerstört. /// Automated guns in section one are gone.
Conversation/zMission_Hybrid01/Line00102=Die Verteidigungskanonen im zweiten Bereich wurden außer Gefecht gesetzt. /// Defensive cannons in section two are out.
Conversation/zMission_Hybrid01/Line00103=Sämtliche automatisierten Kanonen wurden ausgeschaltet. Sobald du den Aufzug gesichert hast, gehört die Plattform dir. /// All the automated guns are down. Once the lift is secured, you will be in complete control.
Conversation/zMission_Hybrid01/Line00104=In der Nähe gibt es noch mehr Garnisonen. Verseuche sie und unser Schwarm wird wachsen. /// There are more garrisons scattered across the platform. Infest them, and our Swarm will grow.
Conversation/zMission_Hybrid01/Line00105=Es gibt hier noch eine weitere Garnison. /// I sense another garrison here.
Conversation/zMission_Hybrid01/Line00106=Unser nächstes Ziel ist diese Garnison. Tötet sie alle. /// Our next target is this garrison. Leave no survivors.
Conversation/zMission_Hybrid01/Line00107=Diese Garnison ist als nächstes dran. /// This garrison is next.
Conversation/zMission_Hybrid01/Line00108=Noch eine Garnison. Macht euch bereit. /// Another garrison. Prepare yourselves.
Conversation/zMission_Hybrid01/Line00109=Kann mich nicht ... bewegen! /// Can't... move!
Conversation/zMission_Hybrid01/Line00110=Gute Arbeit. Die Liga verliert die Kontrolle über die Plattform. /// [Happy]You're doing well,[/Happy] the Dominion is losing control of the platform.
Conversation/zMission_Hybrid01/Line00111=In der Nähe gibt es noch mehr Garnisonen. Verseucht sie, damit unser Schwarm wachsen kann. /// There are more garrisons nearby. [Serious]Infest them[/Serious], and our Swarm will grow.
Conversation/zMission_Hybrid01/Line00112=Ich spüre auf der Plattform noch weitere Garnisonen. /// I sense more garrisons across the platform.
Conversation/zMission_Hybrid01/Line00113=Die Garnison wurde verseucht. Weiter geht's. /// The garrison is infested, [Serious]let's move.[/Serious]
Conversation/zMission_Hybrid01/Line00114=Macht weiter, wir haben den Eingang fast erreicht. /// [Happy]Keep going, [/Happy]the entrance is within our grasp.
Conversation/zMission_Hybrid01/Line00115=Bei dir sieht das Kontrollieren der Verseuchten so leicht aus ... /// You make controlling the infested look so easy...
Conversation/zMission_Hybrid01/Line00116=Tötet jeden einzelnen dieser Ligabastarde. /// Kill every last one of these [Serious]Dominion bastards.[/Serious]
Conversation/zMission_Hybrid01/Line00117=Noch eine Garnison wurde verseucht. /// Another garrison infested.
Conversation/zMission_Hybrid01/Line00118=Wir haben diese Garnison verseucht. /// [Serious]There[/Serious], we've infested this garrison.
Conversation/zMission_Hybrid01/Line00119=Unsere Verseuchung hat eine weitere Garnison erreicht. /// Our infestation spreads to another garrison.
Conversation/zMission_Hybrid01/Line00120=Verseuchung abgeschlossen. Diese Garnison gehört jetzt zum Schwarm. /// Infestation complete. This garrison belongs to the Swarm.
Conversation/zMission_Hybrid01/Line00121=Wir haben eine weitere Garnison verseucht. /// We've infested another garrison.
Conversation/zMission_Hybrid01/Line00122=Garnison verseucht. /// Garrison infested.
Conversation/zMission_Hybrid01/Line00123=Eine weitere Garnison ist unserer Verseuchung zum Opfer gefallen. /// [Happy 70]Another garrison [/Happy][Serious]falls to our infestation.[/Serious]
Conversation/zMission_Hybrid01/Line00124=Einem Verseucher ist die Energie ausgegangen. Sie können andere Zerg-Einheiten einschließlich verseuchter Terraner fressen, um Energie wiederherzustellen. /// An infestor is out of energy. Infestors can Consume zerg units, including the infested terrans to regain energy.
Conversation/zMission_Hybrid01/Line00125=Zerg-Biomasse. Sammlung vieler Gattungen aus dem Koprulu-Sektor. /// Zerg biomass. Collection of many strains from across Korpolu sector.
Conversation/zMission_Hybrid01/Line00126=Die Liga war nicht untätig ... /// The Dominion's been busy...
Conversation/zMission_Hybrid01/Line00127=Muss erlangen, wenn möglich. Sequenzen nützlich, um Macht der Königin zu stärken. /// Must obtain, if possible. Sequences useful for enhancing Queen's power.
Conversation/zMission_Hybrid01/Line00128=Biomasse erhalten. Viele gute Sequenzen. Werde weiterarbeiten. /// Biomass obtained. Many good sequences. Will continue work.
Conversation/zMission_Hybrid01/Line00129=Und dann beginnen wir wieder mit dem Angriff. Bis dahin halten wir diese Position und verteidigen die Virophagen. /// [Serious]And that's [/Serious]when we resume our attack. [Surprise 70]Until then[/Surprise], we'll hold here and defend the virophages.
Conversation/zMission_Hybrid01/Line00130=Die Liga nutzt diese Einrichtungen, um Experimente an lebenden Zerg durchzuführen. /// The Dominion uses these facilities to conduct research on live zerg.
Conversation/zMission_Hybrid01/Line00131=Wenn du hier einen Kriechertumor platzierst, kannst du sie verseuchen und dann die darin befindliche Biomasse stehlen. /// If you place a creep tumor [Surprise 70]here[/Serious], you can infest them and [Serious]steal biomass held within.[/Serious]
Conversation/zMission_Hybrid01/Line00132=Erledigt. Alle drei Einrichtungen wurden verseucht. Die Biomasse gehört dir. /// [Happy]There. [/Happy]All three facilities are infested, the biomass within is yours.
Conversation/zMission_Hybrid01/Line00133=Eine weitere Einrichtung wurde verseucht. /// Another facility infested.
Conversation/zMission_Hybrid01/Line00134=Ausgezeichnet. Dein Kriecher verseucht gerade die erste Einrichtung. /// [Happy]Excellent.[/Happy] Your creep is infesting the first facility now.
Conversation/zMission_Hybrid01/Line00135=Wir haben noch einen Virophagen verloren. Du kannst einen Verseucher zur Garnison bringen und einen neuen Virophagen platzieren. /// We have lost a virophage. If you bring an infestor to the garrison, it will replant the virophage.
Conversation/zMission_Hybrid01/Line00136=Du kannst einen Verseucher zu den Garnisonen bringen, um dort Virophagen zu platzieren. /// You can bring an infestor to these garrisons to implant a virophage.
Conversation/zMission_Hybrid01/Line00137=In der Nähe gibt es noch mehr Garnisonen. Verseucht sie, damit unser Schwarm wachsen kann. /// There are more garrisons nearby. [Serious]Infest them[/Serious], and our Swarm will grow.
Conversation/zMission_Hybrid01/Line00138=Ich spüre auf der Plattform noch weitere Garnisonen. /// I sense more garrisons across the platform.
Conversation/zMission_Hybrid01/Line00139=Die Garnison wurde verseucht. Weiter geht's. /// The garrison is infested, [Serious]let's move.[/Serious]
Conversation/zMission_Hybrid01/Line00140=Noch eine Garnison wurde verseucht. /// Another garrison infested.
Conversation/zMission_Hybrid01/Line00141=Wir haben diese Garnison verseucht. /// [Serious]There[/Serious], we've infested this garrison.
Conversation/zMission_Hybrid01/Line00142=Unsere Verseuchung hat eine weitere Garnison erreicht. /// Our infestation spreads to another garrison.
Conversation/zMission_Hybrid01/Line00143=Eine weitere Garnison ist unserer Verseuchung zum Opfer gefallen. /// [Happy 70]Another garrison [/Happy][Serious]falls to our infestation.[/Serious]
Conversation/zMission_Hybrid01/Line00144=Wendet "Parasitäre Kontrolle" auf die schweren Geschütze der Liga an! Nutzt ihre Waffen gegen sie! /// Use Parasitic Domination on the Dominion's heavy ordnance! [Angry 80]Turn their weapons against them![/Angry]
Conversation/zMission_Hybrid02/Comment00001=Mission Start /// Mission Start
Conversation/zMission_Hybrid02/Comment00002=1. Hybrid geschwächt /// 1st Hybrid Weakened
Conversation/zMission_Hybrid02/Comment00003=2 /// 2
Conversation/zMission_Hybrid02/Comment00004=Waghalsige Liga /// Reckless Dominion
Conversation/zMission_Hybrid02/Comment00005=Zweiter Hybrid tot /// 2nd Hybrid dead
Conversation/zMission_Hybrid02/Comment00006=Brutalisk 1 unter Kontrolle /// Brutalisk 1 Dominated
Conversation/zMission_Hybrid02/Comment00007=Liga greift an /// Dominion Attacking
Conversation/zMission_Hybrid02/Comment00008=Hybrid 3 wird aktiviert /// Hybrid 3 Activation
Conversation/zMission_Hybrid02/Comment00009=Die letzten zwei Hybriden. /// Last two hybrid.
Conversation/zMission_Hybrid02/Comment00010=Hybrid 3 tot /// Hybrid 3 Dead
Conversation/zMission_Hybrid02/Comment00011=Hybriden 5 & 6 werden aktiviert /// Hybrid 5&6 Activate
Conversation/zMission_Hybrid02/Comment00012=Hybriden 5 & 6 Pings werden aktiviert /// Hybrid 5&6 Pings Activate
Conversation/zMission_Hybrid02/Comment00013=6 Hybriden tot /// 6 Hybrid Dead
Conversation/zMission_Hybrid02/Comment00014=Angriff der Liga 3 /// Dominion Assault 3
Conversation/zMission_Hybrid02/Comment00015=Bereich 5 aufgedeckt /// Area 5 reveal
Conversation/zMission_Hybrid02/Comment00016=Hybriden 8 & 9 aktiv /// Hybrids 8&9 Activate
Conversation/zMission_Hybrid02/Comment00017=9 Hybriden tot /// 9 Hybrid Dead
Conversation/zMission_Hybrid02/Comment00019=Hybrid 10 /// Hybrid 10
Conversation/zMission_Hybrid02/Comment00020=Protoss entdeckt /// Protoss Discovered
Conversation/zMission_Hybrid02/Comment00021=Brutalisk /// Brutalisk
Conversation/zMission_Hybrid02/Comment00022=Zergeinheit dringt in Vortex ein /// Zerg units enter the Vortex
Conversation/zMission_Hybrid02/Comment00024=Direkt bevor der zweite Hybrid erwacht. /// Right Before the second hybrid Wakes Up
Conversation/zMission_Hybrid02/Comment00025=Erste Position /// First location
Conversation/zMission_Hybrid02/Comment00026=Zweite Position /// Second location
Conversation/zMission_Hybrid02/Comment00027=Letzte Warnung /// Final warning
Conversation/zMission_Hybrid02/Comment00028=Hybrid 2 wird aktiviert /// Hybrid 2 Activation
Conversation/zMission_Hybrid02/Comment00029=Die Kamera zeigt die zerstörten Kapseln der Hybriden. Es gibt Explosionen und Feuer als die Liga flieht. /// The camera shows the destroyed tubes of the hybrid. Explosions and fire bellows forth as Dominion flee.
Conversation/zMission_Hybrid02/Comment00030=Brutalisk 2 unter Kontrolle /// Brutalisk 2 Dominated
Conversation/zMission_Hybrid02/Comment00031=Die Kamera zeigt mehrere Explosionen in der Nähe bevor sie auf dem Hybrid 03 Vorschaubereich zu ruhen kommt. /// The camera shows several explosions nearby before resting over the Hybrid 03 preview section.
Conversation/zMission_Hybrid02/Comment00032=Falls wir sie noch brauchen: /// In case we still need them:
Conversation/zMission_Hybrid02/Comment00033=Hybriden 7 & 8 Pings werden aktiviert /// Hybrid 7&8 Pings Activate
Conversation/zMission_Hybrid02/Comment00034=Erster Hybrid tot /// 1st Hybrid Dead
Conversation/zMission_Hybrid02/Comment00035=Erste Warnung /// First warning
Conversation/zMission_Hybrid02/Comment00036=Wenn der erste Ultralisk erblickt wird /// Upon seeing the first Ultralisks
Conversation/zMission_Hybrid02/Comment00037=Kommentar /// Comment
Conversation/zMission_Hybrid02/Comment00038=Hybrid 4 wird aktiviert /// Hybrid 4 Activation
Conversation/zMission_Hybrid02/Comment00039=Hybrid 4 tot /// Hybrid 4 Dead
Conversation/zMission_Hybrid02/Comment00040=Hybrid 7 & 8 werden aktiviert /// Hybrid 7&8 Activate
Conversation/zMission_Hybrid02/Comment00041=Kein Hybrid aktiv. /// No hybrid active.
Conversation/zMission_Hybrid02/Comment00042=Hybrid bereits aktiv /// Hybrid already active
Conversation/zMission_Hybrid02/Group00001=Hybrid02 /// Hybrid02
Conversation/zMission_Hybrid02/Group00002=Kritischer Pfad /// Critical Path
Conversation/zMission_Hybrid02/Group00003=Hybrid 2 /// Hybrid 2
Conversation/zMission_Hybrid02/Group00004=Hybrid 3 /// Hybrid 3
Conversation/zMission_Hybrid02/Group00005=Hybriden 5 & 6 /// Hybrid 5 & 6
Conversation/zMission_Hybrid02/Group00006=Bereich 4 /// Area 4
Conversation/zMission_Hybrid02/Group00007=Bonusziele /// Bonus Objectives
Conversation/zMission_Hybrid02/Group00008=Überwältigt-Updates /// Overwhelmed updates
Conversation/zMission_Hybrid02/Group00009=Niederlage /// Loss
Conversation/zMission_Hybrid02/Group00010=Ende - ALT /// Ending - OLD
Conversation/zMission_Hybrid02/Group00011=Benötigt Kontextbezug /// Context Sensitive
Conversation/zMission_Hybrid02/Group00012=Hybrid-Aktivierungs-Audios /// Hybrid Activation Lines
Conversation/zMission_Hybrid02/Group00013=Brutalisk /// Brutalisk
Conversation/zMission_Hybrid02/Group00014=VERALTET /// OBSOLETE
Conversation/zMission_Hybrid02/Group00015=Ende /// Ending
Conversation/zMission_Hybrid02/Group00016=Hybridkrams /// Hybrid stuff
Conversation/zMission_Hybrid02/Group00017=Bereich-Dialog /// Area Dialogue
Conversation/zMission_Hybrid02/Group00018=Hybrid weckt einen anderen Hybriden /// Hybrid waking another hybrid
Conversation/zMission_Hybrid02/Group00019=Hybrid verschwindet /// Hybrid disappeared
Conversation/zMission_Hybrid02/Group00020=VERALTET ABER AUFGENOMMEN /// OBSOLETE BUT RECORDED
Conversation/zMission_Hybrid02/Group00021=Hybrid 1 /// Hybrid 1
Conversation/zMission_Hybrid02/Group00022=Ligaangriff 1 /// Dominion Assault
Conversation/zMission_Hybrid02/Group00023=Hybrid 4 /// Hybrid 4
Conversation/zMission_Hybrid02/Group00024=Benötigt Kontextbezug /// Context Sensitive
Conversation/zMission_Hybrid02/Group00025=Protoss-Version /// Protoss Version
Conversation/zMission_Hybrid02/Group00026=Hybrid 7 & 8 /// Hybrid 7 & 8
Conversation/zMission_Hybrid02/Line00002=Lasst sie ihn zuerst bekämpfen. Der Schwarm wird sich um diejenigen kümmern, die übrig bleiben. /// Let them fight it first then. The Swarm will clean up whatever's left.
Conversation/zMission_Hybrid02/Line00003=Der Hybrid ist geschwächt! Tötet ihn! /// The hybrid is weakened! Kill it!
Conversation/zMission_Hybrid02/Line00004=Sie werden niemals einen Hybriden besiegen können ... hoffentlich schwächen sie ihn wenigstens vor ihrem Tod. /// They can't possibly defeat a hybrid... Hopefully they can soften it up before they die.
Conversation/zMission_Hybrid02/Line00005=Meine Königin, ich habe überall im Labor aktive Psi-Signaturen von Hybriden festgestellt. /// [Surprise 80]My queen, [/Surprise]hybrid psionic signatures are appearing across the laboratory.
Conversation/zMission_Hybrid02/Line00007=Die Tal'darim. Willige Diener von Naruds dunklem Meister. /// The Tal'darim. Willing servants of Narud's dark master.
Conversation/zMission_Hybrid02/Line00008=Die Liga greift einen Hybridentank an! /// The Dominion is attacking a hybrid tank!
Conversation/zMission_Hybrid02/Line00009=Der Schwarm hat seinen Zweck erfüllt. Ein zerbrochenes Werkzeug, nutzlos. /// The Swarm has served its purpose. It is a broken tool, fit only for the scrap heap.
Conversation/zMission_Hybrid02/Line00011=Die Liga flieht – und versucht, durch unsere Reihen zu brechen. /// The Dominion are fleeing -- and trying to break through our lines.
Conversation/zMission_Hybrid02/Line00013=Wir sollten uns zurückziehen und verteidigen! /// We should pull back and defend!
Conversation/zMission_Hybrid02/Line00016=Kannst du ihren Hass spüren, Kerrigan? Fühlst du, wie er durch dein Bewusstsein strömt? /// Can you[Serious] feel their hatred[/Serious], Kerrigan? [Serious]Coursing through your mind?[/Serious]
Conversation/zMission_Hybrid02/Line00017=Du überraschst mich, aber deine Lage ist noch immer hoffnungslos. /// [Surprise]You surprise me.[/Surprise] But you still have no hope.
Conversation/zMission_Hybrid02/Line00018=Truppen der Liga bewegen sich auf den Schwarmcluster zu. /// A Dominion force is moving on the hive cluster.
Conversation/zMission_Hybrid02/Line00020=Ich habe es satt, an zwei Fronten gleichzeitig zu kämpfen. Izsha, wir vernichten die Streitkräfte der Liga. /// I tired of fighting on two fronts. Izsha, we're eliminating the Dominion's forces.
Conversation/zMission_Hybrid02/Line00021=Narud hat zwei Hybriden gleichzeitig erweckt! /// Narud has awakened two hybrid at once!
Conversation/zMission_Hybrid02/Line00022=Du kannst das Unvermeidliche nicht bekämpfen. /// You cannot fight the inevitable.
Conversation/zMission_Hybrid02/Line00023=Wir waren erfolgreich, meine Königin. Im Labor gibt es keine weiteren Signaturen von Hybriden. /// We have succeeded, my queen. There are no more hybrid signatures on this level.
Conversation/zMission_Hybrid02/Line00024=Wenn das hier vorbei ist, bist du an der Reihe, Narud. /// When this is over, [Serious]I'm coming for you Narud.[/Serious]
Conversation/zMission_Hybrid02/Line00025=Die Liga greift wieder den Schwarmcluster an! /// The Dominion are resuming their assault upon the hive cluster!
Conversation/zMission_Hybrid02/Line00027=Ja, meine Königin. Der Großteil der Ligatruppen befindet sich hier. /// Yes, my queen. The majority of the Dominion's forces are located here.
Conversation/zMission_Hybrid02/Line00028=Zwei weitere Hybriden! /// Two more hybrid!
Conversation/zMission_Hybrid02/Line00029=Nur noch zwei Hybriden. /// Only two hybrid remain.
Conversation/zMission_Hybrid02/Line00033=Wer wagt es, die Pläne des Meisters zu stören? /// Who dares interfere with the master's plans?
Conversation/zMission_Hybrid02/Line00034=Nicht so schnell, Commander. Ich habe noch Verwendung für euch. /// Not so fast, commander. I still have a use for you.
Conversation/zMission_Hybrid02/Line00036=Und jetzt töte die Königin der Klingen. /// Now, kill the Queen of Blades.
Conversation/zMission_Hybrid02/Line00038=Die verbleibenden Truppen der Liga sind auf dem Weg zum Schwarmcluster! /// The remaining Dominion forces are headed for the hive cluster!
Conversation/zMission_Hybrid02/Line00039=Meine Königin, der letzte Hybrid bewegt sich direkt auf unsere Truppen zu! /// My queen, the final hybrid is heading straight for our forces!
Conversation/zMission_Hybrid02/Line00040=Bringen wir es zu Ende! Greift ihn an! /// This ends now! Fight it head on!
Conversation/zMission_Hybrid02/Line00041=Die Liga hat einen Brutalisken gefangen genommen! Wenn ich nahe genug herankomme, kann ich ihn kontrollieren. /// The Dominion captured a brutalisk! If we get close enough I can control it.
Conversation/zMission_Hybrid02/Line00042=Die Streitkräfte der Liga befinden sich zwischen unserem Schwarmcluster und dem Hybriden. /// The Dominion are deployed between our hive cluster and the hybrid.
Conversation/zMission_Hybrid02/Line00043=Dann werden sie ebenfalls sterben. /// Then they die also.
Conversation/zMission_Hybrid02/Line00044=Erfüllt euren Zweck. Tötet sie alle. /// [Serious]Fulfill your purpose.[/Serious] [Angry]Kill everything.[/Angry]
Conversation/zMission_Hybrid02/Line00045=Der Vortex kann nicht beschädigt werden. Jeder Zerg, der in ihm gefangen ist, wird vernichtet. /// The vortex cannot be damaged. Any zerg caught within will be destroyed.
Conversation/zMission_Hybrid02/Line00046=Haltet euch vom Vortex fern! /// Keep away from the vortex!
Conversation/zMission_Hybrid02/Line00047=Stukov, ich spüre ... Protoss? Aber sie sind anders, irgendwie. /// Stukov, I sense... protoss? Yet, different somehow.
Conversation/zMission_Hybrid02/Line00048=Unsere Brut ist dem Vortex zu nahe gekommen. /// Our brood has wandered too close to the vortex.
Conversation/zMission_Hybrid02/Line00049=Unsere Leben für seins! /// Our lives for his!
Conversation/zMission_Hybrid02/Line00051=Beeilt euch, der Brutalisk wird angegriffen! /// Move quickly, the brutalisk is under attack!
Conversation/zMission_Hybrid02/Line00054=Nein! Sie haben den Brutalisken getötet! /// No! They've killed the brutalisk!
Conversation/zMission_Hybrid02/Line00055=Ein weiterer Hybrid greift dich an! /// Another hybrid is attacking you!
Conversation/zMission_Hybrid02/Line00057=Ein Hybrid hat begonnen, mit dem Vortex zu verschmelzen! /// A hybrid has begun merging with the vortex!
Conversation/zMission_Hybrid02/Line00058=Haltet ihn auf bevor es zu spät ist! /// Stop it before it's too late!
Conversation/zMission_Hybrid02/Line00059=Die Verschmelzung wurde unterbrochen! Tötet ihn, solange er noch geschwächt ist! /// The merge has been interrupted! Finish it while it's weak!
Conversation/zMission_Hybrid02/Line00060=Wir haben die Verschmelzung unterbrochen! Tötet den Hybriden! /// We've interrupted the merging! Kill the hybrid!
Conversation/zMission_Hybrid02/Line00061=Die Verschmelzung ist unterbrochen! Vernichtet den Hybriden! Jetzt! /// The merging has stopped! Slay the hybrid, now!
Conversation/zMission_Hybrid02/Line00062=Verhindert die Verschmelzung des Hybriden! /// Do not let that hybrid merge!
Conversation/zMission_Hybrid02/Line00063=Schnell, verhindert die Verschmelzung des Hybriden! /// Stop that hybrid from merging, quickly!
