Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Isza /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stiukow /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Zainfekowana Kerrigan /// Kerrigan Infested
Conversation/zMission_Lab02/Line00042=Zapomniałam, jak dobrze nam to szło. /// I forgot how good we are at this.
Conversation/zMission_Lab02/Line00043=Ale nie powinniśmy być z tego dumni. /// There's better things to be proud of.
Conversation/zMission_Lab02/Line00044=Jesteśmy, kim jesteśmy. /// It's who we are.
Conversation/zMission_Lab02/Line00045=Zgrany z nas zespół. /// We make a great team.
Conversation/zMission_Lab02/Line00046=I zgrani wrogowie. /// And great enemies, too.
Conversation/zMission_Lab02/Line00047=Zapomnijmy o tym. To przeszłość. /// Forget that. It's in the past.
Conversation/zMission_Lab02/Line00048=Otrzymuję dużo obrażeń. /// Taking a lot of damage here.
Conversation/zMission_Lab02/Line00049=Są tu jakieś terminale lecznicze? /// Any recovery terminals around?
Conversation/zMission_Lab02/Line00050=Jestem ranny! /// I'm hurtin'.
Conversation/zMission_Lab02/Line00051=Potrzebny mi terminal leczniczy! /// Need a recovery terminal!
Conversation/zMission_Lab02/Line00052=Zwarty oddział marines. Miażdżący chwyt powinien poradzić sobie z całą grupą. /// Those marines are clustered pretty tight. I should be able to handle them all with crushing grip.
Conversation/zMission_Lab02/Line00053=Granaty! Przydadzą się w tej walce. /// Grenades! Useful in this kind of battle.
Conversation/zMission_Lab02/Line00054=Nadciąga kolejna fala grup inwazyjnych Dominium! /// Another wave of Dominion insertion teams incoming!
Conversation/zMission_Lab02/Line00055=Góra! /// Look up!
Conversation/zMission_Lab02/Line00056=Gdzie idą umojanie? /// [Surprise 70]Where are the Umojans going?[/Surprise]
Conversation/zMission_Lab02/Line00057=Nieważne, ruszajmy swoją drogą. /// Let 'em go their way, we'll go ours.
Conversation/zMission_Lab02/Line00058=Zaraz dotrzemy na stację promu. Zabierze nas do lądowiska. /// Almost to the tram station. It'll take us right to the shuttle bay.
Conversation/zMission_Lab02/Line00059=Korytarz jest zablokowany, musicie przebić się przez niższy poziom, żeby dotrzeć do promu. /// The corridor is blocked! You'll have to cut through the sublevel to reach the tram.
Conversation/zMission_Lab02/Line00063=Valerian, odezwij się. Główny korytarz jest zablokowany. Możesz otworzyć drzwi boczne A-12? /// Come in, Valerian. The main corridor is blocked. [Surprise 60]Can you open[/Surprise] side door A-twelve?
Conversation/zMission_Lab02/Line00064=Mogę. Ale przygotujcie się, podczas ataku zergi wydostały się na wolność. /// [Serious]I can.[/Serious] [Surprise 60]Be ready though[/Surprise], the[Serious] zerg specimens[/Serious] got loose in the attack.
Conversation/zMission_Lab02/Line00065=Drzwi otworzą się za... trzy, dwa, jeden! /// The door [Serious]will open[/Serious] in... Three. Two. [Surprise 60]One![/Surprise]
Conversation/zMission_Lab02/Line00068=Zerglingów jest za dużo! /// Too many zerglings!
Conversation/zMission_Lab02/Line00070=Kerrigan, moje oddziały przejęły kontrolę nad centrum bezpieczeństwa. Zamykamy tę placówkę. /// Kerrigan, my forces have taken control of the security hub. [Serious]We are putting this facility on lockdown.[/Serious]
Conversation/zMission_Lab02/Line00071=Nie rób problemów i poddaj się. /// Make this easy on everyone and [Angry]surrender now.[/Angry]
Conversation/zMission_Lab02/Line00072=Chcą nas uwięzić. /// They're trying to trap us.
Conversation/zMission_Lab02/Line00073=Dalej, skarbie! Musimy przedostać się do drzwi! /// [Surprise 80]C'mon, darlin'. [/Surprise]We gotta make it through those doors!
Conversation/zMission_Lab02/Line00077=Udało nam się! /// We made it!
Conversation/zMission_Lab02/Line00078=No jasne! /// 'Course!
Conversation/zMission_Lab02/Line00079=Jesteśmy uwięzieni! /// We're trapped!
Conversation/zMission_Lab02/Line00080=Za wolno! /// Too slow!
Conversation/zMission_Lab02/Line00081=Saro, walczyć u twojego boku to zaszczyt. /// Sarah, it's been a pleasure to fight by your side.
Conversation/zMission_Lab02/Line00082=Cieszę się, że jesteśmy razem. /// I'm glad we're together.
Conversation/zMission_Lab02/Line00083=Pociski plazmowe! Przydadzą się! /// Plasma rounds! These will help!
Conversation/zMission_Lab02/Line00084=[Surprise 70]Ultralisk.[/Surprise] Zobaczymy, jak spodoba mu się wybuch kinetyczny! /// [Surprise 70]An ultralisk.[/Surprise] Let's see how it likes a kinetic blast!
Conversation/zMission_Lab02/Line00085=To ultralisk. Będzie ciężko! /// Ultralisk. This is gonna be rough!
Conversation/zMission_Lab02/Line00086=Pospieszcie się! Zamykają drzwi bezpieczeństwa! /// Hurry! They're shutting down the security doors!
Conversation/zMission_Lab02/Line00087=Cel namierzony! Zlokalizowaliśmy Kerrigan i Raynora! /// Target Acquired! Located Kerrigan and Raynor!
Conversation/zMission_Lab02/Line00088=Nie zatrzymujcie się! Zaraz odetną ten obszar! /// [Serious]Keep moving![Surprise 70] [/Serious]They're about to seal the area![/Surprise]
Conversation/zMission_Lab02/Line00089=Zniszcz gruz! Musimy dotrzeć do drzwi. /// Destroy the debris! We got to reach that door.
Conversation/zMission_Lab02/Line00090=Udało nam się! /// We made it!
Conversation/zMission_Lab02/Line00091=Zaskoczony? /// Are you surprised?
Conversation/zMission_Lab02/Line00092=Dalej! Jeszcze tylko jedne drzwi i będziecie na stacji promu! /// [Surprise 70]Keep going! [/Surprise]There's only [Serious]one more door[/Serious] between you and the [Serious 60]tram station![/Serious]
Conversation/zMission_Lab02/Line00093=W następnym pomieszczeniu wyczuwam wielu żołnierzy Dominium. /// I sense a lot of Dominion in the next room.
Conversation/zMission_Lab02/Line00094=Czeka nas ciężka walka. /// Looks like a rough fight.
Conversation/zMission_Lab02/Line00095=Trzymają tam zergi. Możemy użyć konsoli i je wypuścić. /// They have caged zerg in there. We can use this console to set them loose.
Conversation/zMission_Lab02/Line00096=Albo możemy użyć jej do wypuszczenia gazu. /// Or we can use it to activate the gas defenses.
Conversation/zMission_Lab02/Line00097=Przynajmniej szanse się wyrównały. Uderzamy! /// [Surprise 80]Oh well,[/Surprise][Happy 75] it evened the odds. Let's hit it![/Happy]
Conversation/zMission_Lab02/Line00098=Gaz nie załatwił wszystkich. /// Gas didn't get all of them.
Conversation/zMission_Lab02/Line00099=Teraz musimy zająć się zergami. /// Now we've got [Serious]the zerg to deal with.[/Serious]
Conversation/zMission_Lab02/Line00100=Co jest? Kto otworzył klatki? /// What the hell? Who opened the cages?
Conversation/zMission_Lab02/Line00101=Przynajmniej szanse się wyrównały. Chodźmy! /// Still, it evened the odds. [Serious]Let's go![/Serious]
Conversation/zMission_Lab02/Line00102=Udało nam się! Prom zaraz wystartuje. /// [Happy 80]We made it![/Happy] The tram is about to leave.
Conversation/zMission_Lab02/Line00103=Jim, jesteśmy w odwrocie. Kieruję się na „Hyperiona”. /// [Surprise 70]Jim, we're in full retreat.[/Surprise][Serious] I'm en route to the Hyperion.[/Serious]
Conversation/zMission_Lab02/Line00104=Dobrze. Ustal kurs na punkt zborny. Tam się spotkamy. /// Good. Set course for the rendezvous point. We'll see you there.
Conversation/zMission_Lab02/Line00105=Życzę wam powodzenia. Saro... przepraszam. Za wszystko. /// Good luck to both of you. And Sarah... I'm sorry. For all of it.
Conversation/zMission_Lab02/Line00106=Dominium dostało się do tunelu! /// The Dominion have breached the tunnel.
Conversation/zMission_Lab02/Line00107=Zbliża się Dominium! Bronić promu! /// Dominion incoming! Defend the tram!
Conversation/zMission_Lab02/Line00108=Czołgi oblężnicze! Mogę je załatwić wybuchem kinetycznym. /// [Surprise 60]Siege tanks![/Surprise] I can take them out with a kinetic blast.
Conversation/zMission_Lab02/Line00109=Czołgi oblężnicze! Użyję na nich chwytu psionicznego! /// Siege tanks! I'll use psi-grip on them!
Conversation/zMission_Lab02/Line00110=Widzę lądowisko! Jesteśmy prawie na miejscu! /// I can see the bay! We're almost there!
Conversation/zMission_Lab02/Line00111=Prom nabiera rozpędu! Trzymajcie się! /// The tram's picking up pace! Stay frosty kids!
Conversation/zMission_Lab02/Line00112=Dominium rozstawia jakiegoś ciężkiego mecha na stacji. /// The Dominion is deploying some kind of heavy mech in the shuttle bay.
Conversation/zMission_Lab02/Line00113=Ruszamy! Musimy ich powstrzymać, dopóki nie zakończymy ewakuacji! /// Move out! We have to hold them off until the evacuation is complete!
Conversation/zMission_Lab02/Line00114=Już prawie jesteśmy. Chodźmy za nimi na lądowisko. /// Almost there. Let's follow these guys to the shuttle bay.
Conversation/zMission_Lab02/Line00115=Ruchy! Ruchy! /// Move it! Move it!
Conversation/zMission_Lab02/Line00116=Jim, „Archanioł” stoi między nami i promem! /// [Surprise]Jim, [/Surprise][Surprise 70]the Archangel is between us and your shuttle![/Surprise]
Conversation/zMission_Lab02/Line00117=„Archanioł” na pozycji. Zabezpieczyłem lądowisko. Wszystkie oddziały Dominium, naprzód! /// Archangel in position. I've got the shuttle bay secured. All Dominion forces, push forward!
Conversation/zMission_Lab02/Line00118=Jim! /// Jim!
Conversation/zMission_Lab02/Line00119=Szlag! Saro, znajdę inną drogę. /// [Angry 80]Dammit![/Angry] Sarah, I'll find another way to you.
Conversation/zMission_Lab02/Line00120=Lepiej się pospiesz, inaczej zniszczę to coś bez ciebie. /// Well [Happy 70]you better hurry, or I'll kill this thing without you.[/Happy]
Conversation/zMission_Lab02/Line00121=Atakuję wroga! /// Engaging the enemy!
Conversation/zMission_Lab02/Line00122=Kerrigan jest na lądowisku! Przyślijcie posiłki! /// Kerrigan is in the shuttle bay! Reinforce! Reinforce!
Conversation/zMission_Lab02/Line00123=Nadciągają kapsuły desantowe! /// Drop-pods incoming!
Conversation/zMission_Lab02/Line00124=Cel namierzony, zrzucić kapsuły. /// Target's locked, drop the pods.
Conversation/zMission_Lab02/Line00125=Ostrzał! /// Incoming fire!
Conversation/zMission_Lab02/Line00126=Szybko, Jim. Chyba zbliża się następna fala. /// [Surprise 60]Hurry up, Jim.[/Surprise] I think [Surprise 60]another wave is incoming.[/Surprise]
Conversation/zMission_Lab02/Line00127=Saro, jestem odcięty. Nie dotrę do ciebie. Bierz mój statek i leć. /// Sarah, I'm cut off. I can't get to your location. [Serious]Take my ship and go.[/Serious]
Conversation/zMission_Lab02/Line00128=Dopiero co się odnaleźliśmy. Nie zostawię cię. /// [Surprise 80]We just found each other again.[/Surprise] [Serious 80]I am not leaving you behind.[/Serious]
Conversation/zMission_Lab02/Line00132=Za późno na przeprosiny, Valerian... Jim, wezmę twój statek, ale jeśli dasz się zabić, będziesz miał poważne kłopoty. /// [Angry 70]It's too late for apologies, Valerian.[/Angry] [Serious]Jim, I'll take your ship, [/Serious]but if you get yourself killed... you're in [Surprise]huge trouble.[/Surprise]
Conversation/zMission_Lab02/Line00133=Tak jest. Przyjąłem. /// [Happy 65]Yes'm. Noted.[/Happy]
Conversation/zMission_Lab02/Line00134=Nova! /// Nova!
Conversation/zMission_Lab02/Line00135=No proszę. Jim Raynor. /// Well well. [Serious]Jim Raynor.[/Serious]
Conversation/zMission_Lab02/Line00136=Gdybyś pomógł mi zająć się Toshem, pozwoliłabym ci odejść. Ale dokonałeś złego wyboru! /// If you'd helped me with my Tosh problem, I might have looked the other way while you got out. But you [Serious]chose poorly![/Serious]
Conversation/zMission_Lab02/Line00140=Co jest? Gaz! To gaz! /// What the hell? Gas! Gas!
Conversation/zMission_Lab02/Line00141=Ślepy korytarz. Wracajmy. /// Dead end. Let's head back.
Conversation/zMission_Lab02/Line00142=Zaczynam myśleć, że robisz to celowo, Jim. /// I'm starting to think you're doing this on purpose, Jim.
Conversation/zMission_Lab02/Line00143=Tędy nie przejdziemy. /// This way's blocked.
Conversation/zMission_Lab02/Line00144=Jak chciałeś spędzić ze mną więcej czasu, wystarczyło poprosić... /// If you want to spend more time with me you can just ask...
Conversation/zMission_Lab02/Line00145=Kolejny ślepy korytarz. /// Another dead end.
Conversation/zMission_Lab02/Line00146=Tędy też nie przejdziemy. /// Not gettin' out this way either.
Conversation/zMission_Lab02/Line00147=Atakują silniki! Zestrzelić ich! /// They're after the engines! Shoot 'em out of the sky!
Conversation/zMission_Lab02/Line00148=Zostało pięć... Lepiej nie traćmy kolejnych. /// There's five left... [Serious]Let's not lose any more.[/Serious]
Conversation/zMission_Lab02/Line00149=Straciliśmy silnik! /// We've lost an engine!
Conversation/zMission_Lab02/Line00150=Zostały nam dwa silniki! Jim, podbij tempo! /// We're down to [Surprise 70]two engines, Jim![/Surprise][Serious] Pick up the pace![/Serious]
Conversation/zMission_Lab02/Line00151=Został nam tylko jeden silnik! Brońmy go! /// We've only got one engine left![Angry 70] Protect it![/Angry]
Conversation/zMission_Lab02/Line00152=Opuściliśmy laboratoria. Będziemy wystawieni na atak, dopóki nie dotrzemy na lądowisko. /// We're outta the labs. We're exposed out here until we reach the shuttle bay.
Conversation/zMission_Lab02/Line00153=Zablokowali drzwi! Musimy iść naokoło. /// They've locked the door! We're gonna have to go around.
Conversation/zMission_Lab02/Line00154=Prom otrzymuje za dużo zniszczeń! /// The tram's taking too much damage!
Conversation/zMission_Lab02/Line00155=Droga wolna! Ruszamy! /// The way is clear! Move out!
Conversation/zMission_Lab02/Line00156=A czasem... Naprawdę, Jim? (Śmiech) Minęło sześć lat, a z ciebie nadal świntuch. /// Isn't there -- [Surprise]Really Jim?[/Surprise][Happy 80] (laughs) Six years later and you're still a pig.[/Happy]
Conversation/zMission_Lab02/Line00158=Cóż mam powiedzieć? Stare nawyki. /// What can I say? [Happy 80]Old habits die hard.[/Happy]
Conversation/zMission_Lab02/Line00160=Jeszcze nie. Ale wkrótce. /// Not yet you aren't. But you will be.
Conversation/zMission_Lab02/Line00161=Musimy usunąć gruz! /// We got to clear that rubble!
Conversation/zMission_Lab02/Line00162=Zostało nam mało czasu! /// We're running out of time!
Conversation/zMission_Lab02/Line00163=Musimy ruszać! /// We got to move!
Conversation/zMission_Lab02/Line00164=Drzwi się zatrzasną, jeśli się nie ruszymy! /// Those doors will lock if we don't move!
Conversation/zMission_Lab02/Line00165=Niedługo zamkną to miejsce! Ruszajmy! /// This place is almost locked down. [Serious]Let's go![/Serious]
Conversation/zMission_Lab02/Line00166=Pomogłeś mi zająć się Toshem i bardzo to doceniam. Ale obowiązek to obowiązek! /// You helped me with my Tosh problem, [Surprise 60]and I appreciate that.[/Surprise] But a girl's [Serious]got to do[/Serious] what a [Serious]girl's got to do![/Serious]
Conversation/zMission_Lab02/Line00167=Zaufaj mi, będę tuż za tobą. Leć do punktu zbornego. /// Trust me, I'll be right behind you. Just get to the rendezvous.
Conversation/zMission_Lab02/Line00169=Zaraz odetną tę sekcję! Musicie przejść przez drzwi bezpieczeństwa! /// [Surprise 60]That section is almost locked down![/Surprise] You [Serious]have to[/Serious] get through [Surprise 60]the security door![/Surprise]
Conversation/zMission_Lab02/Line00171=Tak, wyczuwam je. Ale nie powinnam ich znowu kontrolować. /// Yes, [Serious]I can sense them down there.[/Serious] But I don't think I should control them again.
Conversation/zMission_Lab02/Line00172=Nie proszę cię o to. Poradzimy sobie z nimi. /// I won't ask you to do that. We'll handle them.
Conversation/zMission_Lab02/Line00173=Dobra, blondi, pokaż, na co cię stać! /// Alright, Blondie, [Angry 80]take your shot![/Angry]
Conversation/zMission_Lab02/Line00174=Musimy trzymać ich z dala od naszego promu. /// We're going to have to keep them off our ride.
Conversation/zMission_Lab02/Line00175=Saro, odpuść młodemu. /// Take it easy on the kid, Sarah.
Conversation/zMission_Lab02/Line00176=Za długo nas tu trzymał, Jim. Powinniśmy byli się stąd zabrać tydzień temu. To jego wina. /// He kept us here too long, Jim. We should have been on the move a week ago. This is his fault.
Conversation/zMission_Lab02/Line00179=Racja. /// Right.
Conversation/zMission_Lab02/Line00181=[Surprise 60]Czołg oblężniczy![/Surprise] Mogę go załatwić wybuchem kinetycznym. /// [Surprise 60]A siege tank![/Surprise] I can take it out with a kinetic blast.
Conversation/zMission_Lab02/Line00182=Raynor! Kerrigan! Ten terminal was wyleczy i przywróci część energii! /// Raynor, Kerrigan! This recovery terminal will heal you and restore some of your energy!
Conversation/zMission_Lab02/Line00183=Znalazłem inną drogę, będę tuż za tobą. Leć do punktu zbornego! /// I found another way out, I'll be right behind you. Just get to the rendezvous!
Conversation/zMission_Lab02/Line00184=Przyjąłem, Valerian. Daj znać, gdy będziesz na mostku. /// Roger that, Valerian. Hail us when you're on the bridge.
Conversation/zMission_Lab02/Line00185=Zostaliśmy tylko my, Jim. Ruszajmy. /// [Happy 60]Just you and me now, Jim. [/Happy][Serious]Let's move out.[/Serious]
Conversation/zMission_Lab02/Line00186=Raynor, Kerrigan! Jestem na „Hyperionie”, obieramy kurs na punkt zborny. Jaka jest wasza sytuacja? /// [Surprise 70]Raynor, Kerrigan![/Surprise] I'm on the Hyperion, we're [Serious 70]setting course[/Serious] for the rendezvous. [Surprise 70]What is your status?[/Surprise]
Conversation/zMission_Lab02/Line00187=Kerrigan bierze mój statek. Ja potrzebuję ewakuacji. /// [Serious]Kerrigan is taking my drop ship.[/Serious] I need extraction.
Conversation/zMission_Lab02/Line00188=Rozumiem. Wysyłam po ciebie oddział.  /// [Surprise 80]I understand[/Surprise] and I'm [Serious 80]sending a team[/Serious] for you. 
Conversation/zMission_Lab02/Line00189=Kerrigan, widzimy się w punkcie zbornym. I... i przepraszam, że cię nie słuchałem. /// Kerrigan, I'll see you at the rendezvous. And... [Serious]I'm sorry [/Serious]I didn't listen to you sooner.
Conversation/zMission_Lab02/Line00190=Jim, zbliżają się posiłki Dominium. „Hyperion” jest pod silnym ostrzałem, mój oddział nie może do ciebie dotrzeć. /// Jim, Dominion reinforcements are arriving. The Hyperion is taking heavy fire and my team [Surprise 80]can't reach you[/Surprise].
Conversation/zMission_Lab02/Line00191=Przyjąłem. Zabierz „Hyperiona” do punktu zbornego. Znajdę sposób, żeby się stąd wydostać. /// Roger that. Get the Hyperion to the rendezvous! I'll find another way off world.
Conversation/zMission_Lab02/Line00192=Do zobaczenia. /// See you there.
Conversation/zMission_Lab02/Line00193=Nie schrzań tego, Valerian. /// [Angry 70]Do not [/Angry]screw this up, Valerian.
Conversation/zMission_Lab03/Comment00001=ALTERNATIVE bonus objective: Destroy other Dominion bases: /// ALTERNATIVE bonus objective: Destroy other Dominion bases:
Conversation/zMission_Lab03/Comment00002=Przycisk wyboru jednostek armii /// Select Army Units Button
Conversation/zMission_Lab03/Comment00003=Odegraj po tym, jak gracz odzyskał królową, ale jeszcze jej nie stworzył. /// Play after if the player recovers a queen but has not built one.
Conversation/zMission_Lab03/Comment00004=Druga grupa odzyskana: /// Second group recovered:
Conversation/zMission_Lab03/Comment00005=Pierwsza grupa odzyskana: /// First group recovered:
Conversation/zMission_Lab03/Comment00006=Not enough drones /// Not enough drones
Conversation/zMission_Lab03/Comment00007=If there is a convienient place for it: /// If there is a convienient place for it:
Conversation/zMission_Lab03/Comment00008=At some point /// At some point
Conversation/zMission_Lab03/Comment00009=Final beacon /// Final beacon
Conversation/zMission_Lab03/Comment00010=Potrzebne jest więcej jednostek bojowych. /// Need more combat units.
Conversation/zMission_Lab03/Comment00014=Player not using Kerrigan. Or else SOMETIME during the level: /// Player not using Kerrigan. Or else SOMETIME during the level:
Conversation/zMission_Lab03/Comment00015=If the player dies on this map: /// If the player dies on this map:
Conversation/zMission_Lab03/Comment00016=At some point: IMPORTANT /// At some point: IMPORTANT
Conversation/zMission_Lab03/Comment00017=Then later, also IMPORTANT: /// Then later, also IMPORTANT:
Conversation/zMission_Lab03/Comment00018=The player passes near a bonus-objective cave. /// The player passes near a bonus-objective cave.
Conversation/zMission_Lab03/Comment00019=Player passes near another bonus-objective cave. /// Player passes near another bonus-objective cave.
Conversation/zMission_Lab03/Comment00020=Build spine crawlers reminder. /// Build spine crawlers reminder.
Conversation/zMission_Lab03/Comment00021=After Kerrigan revives. /// After Kerrigan revives.
Conversation/zMission_Lab03/Comment00022=Supply capped /// Supply capped
Conversation/zMission_Lab03/Comment00023=Creep tumor. /// Creep tumor.
Conversation/zMission_Lab03/Comment00024=Player hasn't started gathering minerals: /// Player hasn't started gathering minerals:
Conversation/zMission_Lab03/Comment00025=Teach transfusion. /// Teach transfusion.
Conversation/zMission_Lab03/Comment00026=Zakorzeń /// Root
Conversation/zMission_Lab03/Comment00027=The gun is destroyed. The few Marines left run for their ships. /// The gun is destroyed. The few Marines left run for their ships.
Conversation/zMission_Lab03/Comment00028=Less direct version /// Less direct version
Conversation/zMission_Lab03/Comment00029=Different uses of Queens: /// Different uses of Queens:
Conversation/zMission_Lab03/Comment00030=Player hasn't started building a Spawning pool: /// Player hasn't started building a Spawning pool:
Conversation/zMission_Lab03/Comment00031=Player hasn't started building zerglings: /// Player hasn't started building zerglings:
Conversation/zMission_Lab03/Comment00032=Player has gotten low on drones: /// Player has gotten low on drones:
Conversation/zMission_Lab03/Comment00033=Queen Stuff: /// Queen Stuff:
Conversation/zMission_Lab03/Comment00034=Right after odprawa: /// Right after briefing:
Conversation/zMission_Lab03/Comment00035=Spawn Larvae /// Spawn Larvae
Conversation/zMission_Lab03/Comment00036=Spine crawler. /// Spine crawler.
Conversation/zMission_Lab03/Comment00037=Extractor: /// Extractor:
Conversation/zMission_Lab03/Comment00038=Reinforcements arrrive: /// Reinforcements arrrive:
Conversation/zMission_Lab03/Comment00039=Reinforcement status updates: /// Reinforcement status updates:
Conversation/zMission_Lab03/Comment00040=Evolution Chamber. /// Evolution Chamber.
Conversation/zMission_Lab03/Comment00041=Defend both entrances: /// Defend both entrances:
Conversation/zMission_Lab03/Comment00042=At some point: /// At some point:
Conversation/zMission_Lab03/Comment00043=Player isn't building military units /// Player isn't building military units
Conversation/zMission_Lab03/Comment00044=If player doesn't charge the base: /// If player doesn't charge the base:
Conversation/zMission_Lab03/Comment00045=Naktul and the last of her brood arrive: /// Naktul and the last of her brood arrive:
Conversation/zMission_Lab03/Comment00046=Dominion attacks with fliers: /// Dominion attacks with fliers:
Conversation/zMission_Lab03/Comment00047=After air attack: /// After air attack:
Conversation/zMission_Lab03/Comment00048=Osiągnięto limit zaopatrzenia, a gracz chyba nie wie, jak tworzyć nadrządców: /// Supply capped and player doesn't seem to know how to build Overlords:
Conversation/zMission_Lab03/Group00001=zMission_Lab03 /// zMission_Lab03
Conversation/zMission_Lab03/Group00002=Opening moments (non cinematic) /// Opening moments (non cinematic)
Conversation/zMission_Lab03/Group00003=Marine Exclamations /// Marine Exclamations
Conversation/zMission_Lab03/Group00004=Do rozważenia /// To Consider
Conversation/zMission_Lab03/Group00005=Zadanie dodatkowe /// Bonus Objective
Conversation/zMission_Lab03/Group00006=Opening moment contextual /// Opening moment contextual
Conversation/zMission_Lab03/Group00007=Biomasa /// Creep
Conversation/zMission_Lab03/Group00008=Victory cinematic /// Victory cinematic
Conversation/zMission_Lab03/Group00009=Not being used currently but record for safety. /// Not being used currently but record for safety.
Conversation/zMission_Lab03/Group00010=Reinforcements /// Reinforcements
Conversation/zMission_Lab03/Group00011=Bunker Setup /// Bunker Setup
Conversation/zMission_Lab03/Group00013=First Marines arrive /// First Marines arrive
Conversation/zMission_Lab03/Group00014=Context /// Context
Conversation/zMission_Lab03/Group00015=NIEAKTUALNE /// OBSOLETE
Conversation/zMission_Lab03/Group00017=Dominion Moving Out /// Dominion Moving Out
Conversation/zMission_Lab03/Group00018=Brood Arrives /// Brood Arrives
Conversation/zMission_Lab03/Line00001=Co jeszcze? Gdybym tylko sobie przypomniała... biomasa. Potrzebujemy biomasy. /// What else? If I could only remember... creep. We need creep all over this hive cluster.
Conversation/zMission_Lab03/Line00002=Królowa może powić tumor, który będzie wydzielał biomasę. /// The queen can spawn a creep tumor, which spreads creep outward from its own location.
Conversation/zMission_Lab03/Line00005=Królowo, nasze skupisko uli jest gotowe do walki. Co teraz rozkażesz? /// Our hive cluster is ready for combat now, my queen. What is your next command?
Conversation/zMission_Lab03/Line00006=Teraz ruszamy na Dominium. Zapada noc, będą bać się zergów czających się w mroku. /// Now we go after the Dominion. Night is falling, and they'll be nervous about all the zerg prowling out here in the dark.
Conversation/zMission_Lab03/Line00007=Królowo, w tej jaskini jest więcej zerglingów. /// There are more zerglings in this cave, my queen.
Conversation/zMission_Lab03/Line00017=To cud, ze przetrwaliście beze mnie. /// It's a wonder you survived at all without me.
Conversation/zMission_Lab03/Line00018=Kiedy Dominium przybyło, zapędziło część mojego szczepu do jaskiń. /// When the Dominion arrived, they drove some of my brood into caves.
Conversation/zMission_Lab03/Line00019=Dołączą do nas, jeśli zabijemy terran pilnujących wejść. /// They will rejoin us if we can kill the terran soldiers guarding the cave entrances.
Conversation/zMission_Lab03/Line00020=Tak, królowo. /// Yes, my queen.
Conversation/zMission_Lab03/Line00021=Więcej moich zerglingów! Szczep rośnie w siłę! /// More of my zerglings! The brood grows stronger!
Conversation/zMission_Lab03/Line00022=Mamy mało czasu. Potrzebuję więcej larw, żeby powiększyć szczep. /// We don't have much time. I need more larvae to grow this brood.
Conversation/zMission_Lab03/Line00023=Wylęgarnia nieustannie tworzy larwy. /// The hatchery continually spawns larvae.
Conversation/zMission_Lab03/Line00025=Powinniśmy rozprzestrzenić biomasę najdalej, jak się da. /// We should spread creep as far as we can.
Conversation/zMission_Lab03/Line00026=Twój szczep porusza się szybciej na biomasie, królowo. /// Your brood moves faster on creep, my queen.
Conversation/zMission_Lab03/Line00028=Działo zostało zniszczone! Terranie uciekają na okręty! /// The gun is destroyed! The terrans are fleeing to their ships!
Conversation/zMission_Lab03/Line00031=Będziemy czekać na twój powrót. /// We will await your return.
Conversation/zMission_Lab03/Line00033=Co szczep robi na tej planecie? Przecież to pustkowie. /// [Surprise 70]Why is there a brood on this planet?[/Surprise] This is the middle of nowhere.
Conversation/zMission_Lab03/Line00034=Królowo, wysłałaś nas na poszukiwanie artefaktu. Potem już się nie odezwałaś. /// My queen, you sent us here to search for an artifact. Then we never heard from you again.
Conversation/zMission_Lab03/Line00035=Przyślijcie wsparcie! *BIAŁY SZUM* nas atakują *BIAŁY SZUM* potrzebne wsparcie... szybko! /// Send backup -- being attacked -- need back up... now!
Conversation/zMission_Lab03/Line00036=W nogi! W bunkrze będziemy bezpieczni! /// Run! We'll be safe in the bunker!
Conversation/zMission_Lab03/Line00037=Co to było? /// What was that sound?
Conversation/zMission_Lab03/Line00038=Potrzebne nam bunkry, migiem! /// We need bunkers, pronto!
Conversation/zMission_Lab03/Line00039=Mamy tu zergi! /// We got zerg!
Conversation/zMission_Lab03/Line00040=Utrzymać pozycje! /// Hold your ground!
Conversation/zMission_Lab03/Line00041=Słyszę, jak czają się w ciemności... /// I can hear 'em out there in the dark...
Conversation/zMission_Lab03/Line00042=No nie... już po nas, po nas! /// Oh that's it, man... Game over, man, game over!
Conversation/zMission_Lab03/Line00043=Odzyskałaś część szczepu! Powstańcie, moje dzieci! /// You have recovered part of the brood! Rise, my children!
Conversation/zMission_Lab03/Line00044=Zerglingi, wyjdźcie z ukrycia! Walczcie za szczep! /// Come out of hiding, zerglings! Fight for your queen!
Conversation/zMission_Lab03/Line00045=Dominium jest osłabione! Niech mój szczep powstanie! Do ataku! /// The Dominion is so weakened! Arise my brood! Attack!
Conversation/zMission_Lab03/Line00050=Chłopaki, rozstawcie bunkry! /// Get those bunkers in place, boys!
Conversation/zMission_Lab03/Line00069=Królowo, wyewoluowałaś nas do przechowania twojej esencji w najbliższej wylęgarni. /// My queen, you evolved us to store your essence in the nearest hatchery.
